Community,Task,Field,Value
C23421 - Knoll Court (23421),Complete Entrance Feature / Walls / Landscape,Assignee,1199128502925200
C23421 - Knoll Court (23421),Complete Entrance Feature / Walls / Landscape,Due On,2023-11-02
C23421 - Knoll Court (23421),Complete Entrance Feature / Walls / Landscape,CIP-Team,Land Dev
C23421 - Knoll Court (23421),Complete Entrance Feature / Walls / Landscape,CIP-Line ID,P1062.C
C23421 - Knoll Court (23421),Model Complex Kick-Off,Assignee,1202584680648809
C23421 - Knoll Court (23421),Model Complex Kick-Off,Due On,2023-11-03
C23421 - Knoll Court (23421),Model Complex Kick-Off,CIP-Team,Marketing
C23421 - Knoll Court (23421),Model Complex Kick-Off,CIP-Line ID,P1063.C
C23421 - Knoll Court (23421),Model Merchandising Approved,Assignee,1202584680648809
C23421 - Knoll Court (23421),Model Merchandising Approved,Due On,2023-11-06
C23421 - Knoll Court (23421),Model Merchandising Approved,CIP-Team,Marketing
C23421 - Knoll Court (23421),Model Merchandising Approved,CIP-Line ID,P1064.C
C23421 - Knoll Court (23421),Sales Office Approved and sent to Purchasing for AFP Creation,Assignee,1202584680648809
C23421 - Knoll Court (23421),Sales Office Approved and sent to Purchasing for AFP Creation,Due On,2023-11-07
C23421 - Knoll Court (23421),Sales Office Approved and sent to Purchasing for AFP Creation,CIP-Team,Marketing
C23421 - Knoll Court (23421),Sales Office Approved and sent to Purchasing for AFP Creation,CIP-Line ID,P1065.C
C23421 - Knoll Court (23421),Submit for Model Permit,Assignee,1199128502925200
C23421 - Knoll Court (23421),Submit for Model Permit,Due On,2023-11-08
C23421 - Knoll Court (23421),Submit for Model Permit,CIP-Milestone,*
C23421 - Knoll Court (23421),Submit for Model Permit,CIP-Team,Construction
C23421 - Knoll Court (23421),Submit for Model Permit,CIP-Line ID,P1066.C
C23421 - Knoll Court (23421),Provide Comm. Info Specialist Sales Info,Assignee,1202453112366854
C23421 - Knoll Court (23421),Provide Comm. Info Specialist Sales Info,Due On,2023-11-08
C23421 - Knoll Court (23421),Provide Comm. Info Specialist Sales Info,CIP-Team,TBD
C23421 - Knoll Court (23421),Provide Comm. Info Specialist Sales Info,CIP-Line ID,P1067.C
C23421 - Knoll Court (23421),Onsite Purchasing Walk with Sales,Assignee,1202453112366854
C23421 - Knoll Court (23421),Onsite Purchasing Walk with Sales,Due On,2023-11-08
C23421 - Knoll Court (23421),Onsite Purchasing Walk with Sales,CIP-Team,Merchandising
C23421 - Knoll Court (23421),Onsite Purchasing Walk with Sales,CIP-Line ID,P1068.C
C23421 - Knoll Court (23421),Models Open,Assignee,1202584680648809
C23421 - Knoll Court (23421),Models Open,Due On,2023-11-09
C23421 - Knoll Court (23421),Models Open,CIP-Team,Marketing
C23421 - Knoll Court (23421),Models Open,CIP-Line ID,P1069.C
C23421 - Knoll Court (23421),Pre-Sale Event,Assignee,1202584680648809
C23421 - Knoll Court (23421),Pre-Sale Event,Due On,2023-11-10
C23421 - Knoll Court (23421),Pre-Sale Event,CIP-Team,Marketing
C23421 - Knoll Court (23421),Pre-Sale Event,CIP-Line ID,P1070.C
C23421 - Knoll Court (23421),Realtor VIP Party,Assignee,1202584680648809
C23421 - Knoll Court (23421),Realtor VIP Party,Due On,2023-11-13
C23421 - Knoll Court (23421),Realtor VIP Party,CIP-Team,Marketing
C23421 - Knoll Court (23421),Realtor VIP Party,CIP-Line ID,P1071.C
C23421 - Knoll Court (23421),Begin Subdiv. Analysis,Assignee,1202483398164627
C23421 - Knoll Court (23421),Begin Subdiv. Analysis,Due On,2023-11-14
C23421 - Knoll Court (23421),Begin Subdiv. Analysis,CIP-Team,Finance
C23421 - Knoll Court (23421),Begin Subdiv. Analysis,CIP-Line ID,P1072.C
C23421 - Knoll Court (23421),Bond Release,Assignee,1199128502925200
C23421 - Knoll Court (23421),Bond Release,Due On,2023-11-15
C23421 - Knoll Court (23421),Bond Release,CIP-Team,Land Dev
C23421 - Knoll Court (23421),Bond Release,CIP-Line ID,P1073.C
C23421 - Knoll Court (23421),Title Review,Assignee,1202483398164627
C23421 - Knoll Court (23421),Title Review,Due On,2023-11-15
C23421 - Knoll Court (23421),Title Review,CIP-Team,Legal
C23421 - Knoll Court (23421),Title Review,CIP-Line ID,P1074.C
C23421 - Knoll Court (23421),Post Deposit / Set-Up Entity / Post Deposit / Set Commission Structure,Assignee,1202483398164627
C23421 - Knoll Court (23421),Post Deposit / Set-Up Entity / Post Deposit / Set Commission Structure,Due On,2023-11-15
C23421 - Knoll Court (23421),Post Deposit / Set-Up Entity / Post Deposit / Set Commission Structure,CIP-Team,Finance
C23421 - Knoll Court (23421),Post Deposit / Set-Up Entity / Post Deposit / Set Commission Structure,CIP-Line ID,P1075.C
C23421 - Knoll Court (23421),House Design Submittal,Assignee,1202453112366854
C23421 - Knoll Court (23421),House Design Submittal,Due On,2023-11-16
C23421 - Knoll Court (23421),House Design Submittal,CIP-Team,Architecture
C23421 - Knoll Court (23421),House Design Submittal,CIP-Line ID,P1076.C
C23421 - Knoll Court (23421),Set-Up House Budgets and Set Prices,Assignee,1202584680648809
C23421 - Knoll Court (23421),Set-Up House Budgets and Set Prices,Due On,2023-11-17
C23421 - Knoll Court (23421),Set-Up House Budgets and Set Prices,CIP-Team,Purchasing
C23421 - Knoll Court (23421),Set-Up House Budgets and Set Prices,CIP-Line ID,P1077.C
C23421 - Knoll Court (23421),Create HOA Documents,Assignee,1202483398164627
C23421 - Knoll Court (23421),Create HOA Documents,Due On,2023-11-20
C23421 - Knoll Court (23421),Create HOA Documents,CIP-Team,Legal
C23421 - Knoll Court (23421),Create HOA Documents,CIP-Line ID,P1078.C
C23421 - Knoll Court (23421),Approve  HOA Documents,Assignee,1202483398164627
C23421 - Knoll Court (23421),Approve  HOA Documents,Due On,2023-11-21
C23421 - Knoll Court (23421),Approve  HOA Documents,CIP-Team,Legal
C23421 - Knoll Court (23421),Approve  HOA Documents,CIP-Line ID,P1079.C
C23421 - Knoll Court (23421),Model Complex Plan Approval,Assignee,1202584680648809
C23421 - Knoll Court (23421),Model Complex Plan Approval,Due On,2023-11-22
C23421 - Knoll Court (23421),Model Complex Plan Approval,CIP-Team,Marketing
C23421 - Knoll Court (23421),Model Complex Plan Approval,CIP-Line ID,P1080.C
C23421 - Knoll Court (23421),New Community Orient (Office),Assignee,1202584680648809
C23421 - Knoll Court (23421),New Community Orient (Office),Due On,2023-11-22
C23421 - Knoll Court (23421),New Community Orient (Office),CIP-Team,"Land Dev, Purchasing"
C23421 - Knoll Court (23421),New Community Orient (Office),CIP-Line ID,P1081.C
C23421 - Knoll Court (23421),Set Construction Trailer,Assignee,1202453112366854
C23421 - Knoll Court (23421),Set Construction Trailer,Due On,2023-11-22
C23421 - Knoll Court (23421),Set Construction Trailer,CIP-Team,Project Manager
C23421 - Knoll Court (23421),Set Construction Trailer,CIP-Line ID,P1082.C
C23421 - Knoll Court (23421),Contract Signed,Assignee,1202483398164627
C23421 - Knoll Court (23421),Contract Signed,Due On,2023-11-23
C23421 - Knoll Court (23421),Contract Signed,CIP-Milestone,*
C23421 - Knoll Court (23421),Contract Signed,CIP-Team,Legal
C23421 - Knoll Court (23421),Contract Signed,CIP-Line ID,P1083.C
C23421 - Knoll Court (23421),Design Review/AQ Review,Assignee,1202453112366854
C23421 - Knoll Court (23421),Design Review/AQ Review,Due On,2023-11-24
C23421 - Knoll Court (23421),Design Review/AQ Review,CIP-Milestone,*
C23421 - Knoll Court (23421),Design Review/AQ Review,CIP-Team,Architecture
C23421 - Knoll Court (23421),Design Review/AQ Review,CIP-Line ID,P1084.C
C23421 - Knoll Court (23421),CPD Plan Approval (3 weeks before DTO),Assignee,1202453112366854
C23421 - Knoll Court (23421),CPD Plan Approval (3 weeks before DTO),Due On,2023-11-27
C23421 - Knoll Court (23421),CPD Plan Approval (3 weeks before DTO),CIP-Team,Architecture
C23421 - Knoll Court (23421),CPD Plan Approval (3 weeks before DTO),CIP-Line ID,P1085.C
C23421 - Knoll Court (23421),LD Start,Assignee,1199128502925200
C23421 - Knoll Court (23421),LD Start,Due On,2023-11-28
C23421 - Knoll Court (23421),LD Start,CIP-Milestone,*
C23421 - Knoll Court (23421),LD Start,CIP-Team,Land Dev
C23421 - Knoll Court (23421),LD Start,CIP-Line ID,P1086.C
C23421 - Knoll Court (23421),Complete Earthwork,Assignee,1199128502925200
C23421 - Knoll Court (23421),Complete Earthwork,Due On,2023-11-29
C23421 - Knoll Court (23421),Complete Earthwork,CIP-Team,Land Dev
C23421 - Knoll Court (23421),Complete Earthwork,CIP-Line ID,P1087.C
C23421 - Knoll Court (23421),DRE Submit,Assignee,1202483398164627
C23421 - Knoll Court (23421),DRE Submit,Due On,2023-11-29
C23421 - Knoll Court (23421),DRE Submit,CIP-Team,Legal
C23421 - Knoll Court (23421),DRE Submit,CIP-Line ID,P1088.C
C23421 - Knoll Court (23421),DRE Conditional,Assignee,1202483398164627
C23421 - Knoll Court (23421),DRE Conditional,Due On,2023-11-29
C23421 - Knoll Court (23421),DRE Conditional,CIP-Team,Legal
C23421 - Knoll Court (23421),DRE Conditional,CIP-Line ID,P1089.C
C23421 - Knoll Court (23421),DRE Final,Assignee,1202584680648809
C23421 - Knoll Court (23421),DRE Final,Due On,2023-11-30
C23421 - Knoll Court (23421),DRE Final,CIP-Team,Marketing
C23421 - Knoll Court (23421),DRE Final,CIP-Line ID,P1090.C
C23421 - Knoll Court (23421),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C23421 - Knoll Court (23421),First Lot Takedown/Open Escrow,Due On,2023-12-01
C23421 - Knoll Court (23421),First Lot Takedown/Open Escrow,CIP-Milestone,*
C23421 - Knoll Court (23421),First Lot Takedown/Open Escrow,CIP-Team,Legal
C23421 - Knoll Court (23421),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C23421 - Knoll Court (23421),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),Assignee,1199128502925200
C23421 - Knoll Court (23421),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),Due On,2023-12-04
C23421 - Knoll Court (23421),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),CIP-Team,Land Dev
C23421 - Knoll Court (23421),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),CIP-Line ID,P1092.C
C23421 - Knoll Court (23421),LD Trade Partner Final Selection (2 wks prior to LD start),Assignee,1199128502925200
C23421 - Knoll Court (23421),LD Trade Partner Final Selection (2 wks prior to LD start),Due On,2023-12-05
C23421 - Knoll Court (23421),LD Trade Partner Final Selection (2 wks prior to LD start),CIP-Team,Land Dev
C23421 - Knoll Court (23421),LD Trade Partner Final Selection (2 wks prior to LD start),CIP-Line ID,P1093.C
C23421 - Knoll Court (23421),SWPPP Plan Review and Approval,Assignee,1199128502925200
C23421 - Knoll Court (23421),SWPPP Plan Review and Approval,Due On,2023-12-06
C23421 - Knoll Court (23421),SWPPP Plan Review and Approval,CIP-Team,Land Dev
C23421 - Knoll Court (23421),SWPPP Plan Review and Approval,CIP-Line ID,P1094.C
C23421 - Knoll Court (23421),ID Land Banker/JV Partner,Assignee,1202483398164627
C23421 - Knoll Court (23421),ID Land Banker/JV Partner,Due On,2023-12-06
C23421 - Knoll Court (23421),ID Land Banker/JV Partner,CIP-Team,Management
C23421 - Knoll Court (23421),ID Land Banker/JV Partner,CIP-Line ID,P1095.C
C23421 - Knoll Court (23421),All Approvals (Must tie to SOGA document),Assignee,1202483398164627
C23421 - Knoll Court (23421),All Approvals (Must tie to SOGA document),Due On,2023-12-06
C23421 - Knoll Court (23421),All Approvals (Must tie to SOGA document),CIP-Team,Legal
C23421 - Knoll Court (23421),All Approvals (Must tie to SOGA document),CIP-Line ID,P1096.C
C23421 - Knoll Court (23421),Selections for Sales Models only (2 wks after DTO),Assignee,1202584680648809
C23421 - Knoll Court (23421),Selections for Sales Models only (2 wks after DTO),Due On,2023-12-07
C23421 - Knoll Court (23421),Selections for Sales Models only (2 wks after DTO),CIP-Team,Marketing
C23421 - Knoll Court (23421),Selections for Sales Models only (2 wks after DTO),CIP-Line ID,P1097.C
C23421 - Knoll Court (23421),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),Assignee,1202584680648809
C23421 - Knoll Court (23421),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),Due On,2023-12-08
C23421 - Knoll Court (23421),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),CIP-Milestone,*
C23421 - Knoll Court (23421),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),CIP-Team,Purchasing
C23421 - Knoll Court (23421),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),CIP-Line ID,P1098.C
C23421 - Knoll Court (23421),Pre-Construction Kick-Off Meeting and Available Selections Meeting,Assignee,1202453112366854
C23421 - Knoll Court (23421),Pre-Construction Kick-Off Meeting and Available Selections Meeting,Due On,2023-12-11
C23421 - Knoll Court (23421),Pre-Construction Kick-Off Meeting and Available Selections Meeting,CIP-Team,Operations
C23421 - Knoll Court (23421),Pre-Construction Kick-Off Meeting and Available Selections Meeting,CIP-Line ID,P1099.C
C23421 - Knoll Court (23421),Pre-Sellout Meeting (6 wks prior to sales opening),Assignee,1202453112366854
C23421 - Knoll Court (23421),Pre-Sellout Meeting (6 wks prior to sales opening),Due On,2023-12-12
C23421 - Knoll Court (23421),Pre-Sellout Meeting (6 wks prior to sales opening),CIP-Team,Operations
C23421 - Knoll Court (23421),Pre-Sellout Meeting (6 wks prior to sales opening),CIP-Line ID,P1100.C
C23421 - Knoll Court (23421),Sellout Meeting (2 wks prior to sales opening),Assignee,1202453112366854
C23421 - Knoll Court (23421),Sellout Meeting (2 wks prior to sales opening),Due On,2023-12-13
C23421 - Knoll Court (23421),Sellout Meeting (2 wks prior to sales opening),CIP-Team,Operations
C23421 - Knoll Court (23421),Sellout Meeting (2 wks prior to sales opening),CIP-Line ID,P1101.C
C23421 - Knoll Court (23421),HOA/DCA Approvals,Assignee,1202483398164627
C23421 - Knoll Court (23421),HOA/DCA Approvals,Due On,2023-12-13
C23421 - Knoll Court (23421),HOA/DCA Approvals,CIP-Team,Legal
C23421 - Knoll Court (23421),HOA/DCA Approvals,CIP-Line ID,P1102.C
C23421 - Knoll Court (23421),1st Production Foundation Start,Assignee,1202453112366854
C23421 - Knoll Court (23421),1st Production Foundation Start,Due On,2023-12-13
C23421 - Knoll Court (23421),1st Production Foundation Start,CIP-Milestone,*
C23421 - Knoll Court (23421),1st Production Foundation Start,CIP-Team,Operations
C23421 - Knoll Court (23421),1st Production Foundation Start,CIP-Line ID,P1103.C
C23421 - Knoll Court (23421),1st Production Delivery,Assignee,1202453112366854
C23421 - Knoll Court (23421),1st Production Delivery,Due On,2023-12-14
C23421 - Knoll Court (23421),1st Production Delivery,CIP-Team,Operations
C23421 - Knoll Court (23421),1st Production Delivery,CIP-Line ID,P1104.C
C23421 - Knoll Court (23421),Last Production Delivery,Assignee,1202453112366854
C23421 - Knoll Court (23421),Last Production Delivery,Due On,2023-12-15
C23421 - Knoll Court (23421),Last Production Delivery,CIP-Team,Operations
C23421 - Knoll Court (23421),Last Production Delivery,CIP-Line ID,P1105.C
C23421 - Knoll Court (23421),City Dedication,Assignee,1199128502925200
C23421 - Knoll Court (23421),City Dedication,Due On,2023-12-18
C23421 - Knoll Court (23421),City Dedication,CIP-Team,Land Dev
C23421 - Knoll Court (23421),City Dedication,CIP-Line ID,P1106.C
C23421 - Knoll Court (23421),Alternate Financing (if necessary),Assignee,1202453112366854
C23421 - Knoll Court (23421),Alternate Financing (if necessary),Due On,2023-12-19
C23421 - Knoll Court (23421),Alternate Financing (if necessary),CIP-Team,TBD
C23421 - Knoll Court (23421),Alternate Financing (if necessary),CIP-Line ID,P1107.C
C25214 - UJV Four Seasons at Parkland Master (25214),ID Property,Assignee,1202483398164627
C25214 - UJV Four Seasons at Parkland Master (25214),ID Property,Due On,2022-11-09
C25214 - UJV Four Seasons at Parkland Master (25214),ID Property,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),ID Property,CIP-Team,"Architecture, Land Acq"
C25214 - UJV Four Seasons at Parkland Master (25214),ID Property,CIP-Line ID,P1000.C
C25214 - UJV Four Seasons at Parkland Master (25214),Submit for Model Permit,Assignee,1199128502925200
C25214 - UJV Four Seasons at Parkland Master (25214),Submit for Model Permit,Due On,2022-12-26
C25214 - UJV Four Seasons at Parkland Master (25214),Submit for Model Permit,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Submit for Model Permit,CIP-Team,Construction
C25214 - UJV Four Seasons at Parkland Master (25214),Submit for Model Permit,CIP-Line ID,P1066.C
C25214 - UJV Four Seasons at Parkland Master (25214),Plan Approval,Assignee,1202453112366854
C25214 - UJV Four Seasons at Parkland Master (25214),Plan Approval,Due On,2023-01-02
C25214 - UJV Four Seasons at Parkland Master (25214),Plan Approval,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Plan Approval,CIP-Team,Architecture
C25214 - UJV Four Seasons at Parkland Master (25214),Plan Approval,CIP-Line ID,P1010.C
C25214 - UJV Four Seasons at Parkland Master (25214),Begin Bid Process,Assignee,1202584680648809
C25214 - UJV Four Seasons at Parkland Master (25214),Begin Bid Process,Due On,2023-01-09
C25214 - UJV Four Seasons at Parkland Master (25214),Begin Bid Process,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Begin Bid Process,CIP-Team,Purchasing
C25214 - UJV Four Seasons at Parkland Master (25214),Begin Bid Process,CIP-Line ID,P1011.C
C25214 - UJV Four Seasons at Parkland Master (25214),Contract Signed,Assignee,1202483398164627
C25214 - UJV Four Seasons at Parkland Master (25214),Contract Signed,Due On,2023-01-16
C25214 - UJV Four Seasons at Parkland Master (25214),Contract Signed,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Contract Signed,CIP-Team,Legal
C25214 - UJV Four Seasons at Parkland Master (25214),Contract Signed,CIP-Line ID,P1083.C
C25214 - UJV Four Seasons at Parkland Master (25214),LD Start,Assignee,1199128502925200
C25214 - UJV Four Seasons at Parkland Master (25214),LD Start,Due On,2023-01-30
C25214 - UJV Four Seasons at Parkland Master (25214),LD Start,Start On,2023-01-23
C25214 - UJV Four Seasons at Parkland Master (25214),LD Start,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),LD Start,CIP-Team,Land Dev
C25214 - UJV Four Seasons at Parkland Master (25214),LD Start,CIP-Line ID,P1086.C
C25214 - UJV Four Seasons at Parkland Master (25214),Energize Site (Site Hot),Assignee,1199128502925200
C25214 - UJV Four Seasons at Parkland Master (25214),Energize Site (Site Hot),Due On,2023-02-03
C25214 - UJV Four Seasons at Parkland Master (25214),Energize Site (Site Hot),Start On,2023-01-31
C25214 - UJV Four Seasons at Parkland Master (25214),Energize Site (Site Hot),CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Energize Site (Site Hot),CIP-Team,Land Dev
C25214 - UJV Four Seasons at Parkland Master (25214),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25214 - UJV Four Seasons at Parkland Master (25214),Model Start,Assignee,1199128502925200
C25214 - UJV Four Seasons at Parkland Master (25214),Model Start,Due On,2023-02-06
C25214 - UJV Four Seasons at Parkland Master (25214),Model Start,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Model Start,CIP-Team,Construction
C25214 - UJV Four Seasons at Parkland Master (25214),Model Start,CIP-Line ID,P1030.C
C25214 - UJV Four Seasons at Parkland Master (25214),Open for Sale,Assignee,1202584680648809
C25214 - UJV Four Seasons at Parkland Master (25214),Open for Sale,Due On,2023-02-13
C25214 - UJV Four Seasons at Parkland Master (25214),Open for Sale,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Open for Sale,CIP-Team,Sales
C25214 - UJV Four Seasons at Parkland Master (25214),Open for Sale,CIP-Line ID,P1029.C
C25214 - UJV Four Seasons at Parkland Master (25214),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25214 - UJV Four Seasons at Parkland Master (25214),First Lot Takedown/Open Escrow,Due On,2023-02-20
C25214 - UJV Four Seasons at Parkland Master (25214),First Lot Takedown/Open Escrow,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),First Lot Takedown/Open Escrow,CIP-Team,Legal
C25214 - UJV Four Seasons at Parkland Master (25214),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C25214 - UJV Four Seasons at Parkland Master (25214),Start Production,Assignee,1199128502925200
C25214 - UJV Four Seasons at Parkland Master (25214),Start Production,Due On,2023-02-27
C25214 - UJV Four Seasons at Parkland Master (25214),Start Production,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),Start Production,CIP-Team,Construction
C25214 - UJV Four Seasons at Parkland Master (25214),Start Production,CIP-Line ID,P1032.C
C25214 - UJV Four Seasons at Parkland Master (25214),1st Production Foundation Start,Assignee,1202453112366854
C25214 - UJV Four Seasons at Parkland Master (25214),1st Production Foundation Start,Due On,2023-03-06
C25214 - UJV Four Seasons at Parkland Master (25214),1st Production Foundation Start,CIP-Milestone,*
C25214 - UJV Four Seasons at Parkland Master (25214),1st Production Foundation Start,CIP-Team,Operations
C25214 - UJV Four Seasons at Parkland Master (25214),1st Production Foundation Start,CIP-Line ID,P1103.C
C25215 - UJV Four Seasons at Parkland 50' (25215),ID Property,Assignee,1202483398164627
C25215 - UJV Four Seasons at Parkland 50' (25215),ID Property,Due On,2022-11-09
C25215 - UJV Four Seasons at Parkland 50' (25215),ID Property,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),ID Property,CIP-Team,"Architecture, Land Acq"
C25215 - UJV Four Seasons at Parkland 50' (25215),ID Property,CIP-Line ID,P1000.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Submit for Model Permit,Assignee,1199128502925200
C25215 - UJV Four Seasons at Parkland 50' (25215),Submit for Model Permit,Due On,2022-12-26
C25215 - UJV Four Seasons at Parkland 50' (25215),Submit for Model Permit,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Submit for Model Permit,CIP-Team,Construction
C25215 - UJV Four Seasons at Parkland 50' (25215),Submit for Model Permit,CIP-Line ID,P1066.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Plan Approval,Assignee,1202453112366854
C25215 - UJV Four Seasons at Parkland 50' (25215),Plan Approval,Due On,2023-01-02
C25215 - UJV Four Seasons at Parkland 50' (25215),Plan Approval,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Plan Approval,CIP-Team,Architecture
C25215 - UJV Four Seasons at Parkland 50' (25215),Plan Approval,CIP-Line ID,P1010.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Begin Bid Process,Assignee,1202584680648809
C25215 - UJV Four Seasons at Parkland 50' (25215),Begin Bid Process,Due On,2023-01-09
C25215 - UJV Four Seasons at Parkland 50' (25215),Begin Bid Process,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Begin Bid Process,CIP-Team,Purchasing
C25215 - UJV Four Seasons at Parkland 50' (25215),Begin Bid Process,CIP-Line ID,P1011.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Contract Signed,Assignee,1202483398164627
C25215 - UJV Four Seasons at Parkland 50' (25215),Contract Signed,Due On,2023-01-16
C25215 - UJV Four Seasons at Parkland 50' (25215),Contract Signed,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Contract Signed,CIP-Team,Legal
C25215 - UJV Four Seasons at Parkland 50' (25215),Contract Signed,CIP-Line ID,P1083.C
C25215 - UJV Four Seasons at Parkland 50' (25215),LD Start,Assignee,1199128502925200
C25215 - UJV Four Seasons at Parkland 50' (25215),LD Start,Due On,2023-01-30
C25215 - UJV Four Seasons at Parkland 50' (25215),LD Start,Start On,2023-01-23
C25215 - UJV Four Seasons at Parkland 50' (25215),LD Start,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),LD Start,CIP-Team,Land Dev
C25215 - UJV Four Seasons at Parkland 50' (25215),LD Start,CIP-Line ID,P1086.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Energize Site (Site Hot),Assignee,1199128502925200
C25215 - UJV Four Seasons at Parkland 50' (25215),Energize Site (Site Hot),Due On,2023-02-03
C25215 - UJV Four Seasons at Parkland 50' (25215),Energize Site (Site Hot),Start On,2023-01-31
C25215 - UJV Four Seasons at Parkland 50' (25215),Energize Site (Site Hot),CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Energize Site (Site Hot),CIP-Team,Land Dev
C25215 - UJV Four Seasons at Parkland 50' (25215),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Model Start,Assignee,1199128502925200
C25215 - UJV Four Seasons at Parkland 50' (25215),Model Start,Due On,2023-02-06
C25215 - UJV Four Seasons at Parkland 50' (25215),Model Start,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Model Start,CIP-Team,Construction
C25215 - UJV Four Seasons at Parkland 50' (25215),Model Start,CIP-Line ID,P1030.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Open for Sale,Assignee,1202584680648809
C25215 - UJV Four Seasons at Parkland 50' (25215),Open for Sale,Due On,2023-02-13
C25215 - UJV Four Seasons at Parkland 50' (25215),Open for Sale,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Open for Sale,CIP-Team,Sales
C25215 - UJV Four Seasons at Parkland 50' (25215),Open for Sale,CIP-Line ID,P1029.C
C25215 - UJV Four Seasons at Parkland 50' (25215),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25215 - UJV Four Seasons at Parkland 50' (25215),First Lot Takedown/Open Escrow,Due On,2023-02-20
C25215 - UJV Four Seasons at Parkland 50' (25215),First Lot Takedown/Open Escrow,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),First Lot Takedown/Open Escrow,CIP-Team,Legal
C25215 - UJV Four Seasons at Parkland 50' (25215),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C25215 - UJV Four Seasons at Parkland 50' (25215),Start Production,Assignee,1199128502925200
C25215 - UJV Four Seasons at Parkland 50' (25215),Start Production,Due On,2023-02-27
C25215 - UJV Four Seasons at Parkland 50' (25215),Start Production,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),Start Production,CIP-Team,Construction
C25215 - UJV Four Seasons at Parkland 50' (25215),Start Production,CIP-Line ID,P1032.C
C25215 - UJV Four Seasons at Parkland 50' (25215),1st Production Foundation Start,Assignee,1202453112366854
C25215 - UJV Four Seasons at Parkland 50' (25215),1st Production Foundation Start,Due On,2023-03-06
C25215 - UJV Four Seasons at Parkland 50' (25215),1st Production Foundation Start,CIP-Milestone,*
C25215 - UJV Four Seasons at Parkland 50' (25215),1st Production Foundation Start,CIP-Team,Operations
C25215 - UJV Four Seasons at Parkland 50' (25215),1st Production Foundation Start,CIP-Line ID,P1103.C
C25216 - UJV Four Seasons at Parkland 60' (25216),ID Property,Assignee,1202483398164627
C25216 - UJV Four Seasons at Parkland 60' (25216),ID Property,Due On,2022-11-09
C25216 - UJV Four Seasons at Parkland 60' (25216),ID Property,CIP-Milestone,*
C25216 - UJV Four Seasons at Parkland 60' (25216),ID Property,CIP-Team,"Architecture, Land Acq"
C25216 - UJV Four Seasons at Parkland 60' (25216),ID Property,CIP-Line ID,P1000.C
C25216 - UJV Four Seasons at Parkland 60' (25216),Submit for Model Permit,Assignee,1199128502925200
C25216 - UJV Four Seasons at Parkland 60' (25216),Submit for Model Permit,Due On,2022-12-26
C25216 - UJV Four Seasons at Parkland 60' (25216),Submit for Model Permit,CIP-Milestone,*
